"Invariant_GeV2","OnShell_Mean_GeV-1","OnShell_Sigma_GeV-1","Continuous_Mean_GeV-1","Continuous_Sigma_GeV-1"
0.7493064287749932,0.,0.,4.641753364045002e-10,1.1305479495582382e-10
0.7500732308169481,0.,0.,4.5408780623953224e-10,1.1059919754343502e-10
0.750840032858903,0.,0.,4.440923886789494e-10,1.0816601448353084e-10
0.7516068349008578,0.,0.,4.3418929823424537e-10,1.0575529795577243e-10
0.7523736369428127,0.,0.,4.24378754299172e-10,1.0336710132692285e-10
0.7531404389847676,0.,0.,4.146609814040398e-10,1.0100147921269072e-10
0.7539072410267225,0.,0.,4.0503620948319823e-10,9.865848754279143e-11
0.7546740430686774,0.,0.,3.9550467415681905e-10,9.633818362947198e-11
0.7554408451106321,0.,0.,3.860666170277762e-10,9.404062623972537e-11
0.756207647152587,0.,0.,3.767222859947693e-10,9.176587567143857e-11
0.7569744491945419,0.,0.,3.6747193558279073e-10,8.951399383377035e-11
0.7577412512364968,0.,0.,3.5831582729222364e-10,8.728504433206362e-11
0.7585080532784517,0.,0.,3.4925422996781097e-10,8.507909255758151e-11
0.7592748553204065,0.,0.,3.4028742018915057e-10,8.289620578249553e-11
0.7600416573623614,0.,0.,3.314156826840829e-10,8.073645326043038e-11
0.7608084594043164,0.,0.,3.226393107669738e-10,7.85999063330667e-11
0.7615752614462712,0.,0.,3.1395860680359925e-10,7.648663854323003e-11
0.7623420634882261,0.,0.,3.0537388270486356e-10,7.439672575498163e-11
0.763108865530181,0.,0.,2.968854604515989e-10,7.23302462812761e-11
0.7638756675721359,0.,0.,2.884936726529995e-10,7.028728101980792e-11
0.7646424696140908,0.,0.,2.8019886314149436e-10,6.826791359772556e-11
0.7654092716560457,0.,0.,2.7200138760706687e-10,6.627223052593826e-11
0.7661760736980004,0.,0.,2.6390161427451974e-10,6.430032136388368e-11
0.7669428757399553,0.,0.,2.558999246273513e-10,6.235227889563863e-11
0.7677096777819103,0.,0.,2.4799671418246775e-10,6.042819931840598e-11
0.7684764798238652,0.,0.,2.401923933203444e-10,5.852818244449078e-11
0.76924328186582,0.,0.,2.3248738817576697e-10,5.665233191804068e-11
0.7700100839077748,0.,0.,2.2488214159493153e-10,5.4800755447925614e-11
0.7707768859497297,0.,0.,2.173771141652858e-10,5.297356505834747e-11
0.7715436879916846,0.,0.,2.099727853253555e-10,5.11708773589078e-11
0.7723104900336395,0.,0.,2.0266965456255892e-10,4.939281383612612e-11
0.7730772920755944,0.,0.,1.9546824270819637e-10,4.763950116860644e-11
0.7738440941175493,0.,0.,1.883690933397606e-10,4.5911071568366944e-11
0.7746108961595042,0.,0.,1.8137277430226702e-10,4.4207663151145075e-11
0.7753776982014591,0.,0.,1.7447987936173334e-10,4.252942033892183e-11
0.776144500243414,0.,0.,1.6769103000578766e-10,4.0876494298290425e-11
0.7769113022853688,0.,0.,1.610068774085241e-10,3.924904341885918e-11
0.7776781043273236,0.,0.,1.54428104579193e-10,3.7647233836474006e-11
0.7784449063692785,0.,0.,1.4795542871722486e-10,3.6071240006747864e-11
0.7792117084112333,0.,0.,1.4158960379954315e-10,3.452124533524309e-11
0.7799785104531882,0.,0.,1.3533142343017103e-10,3.299744287163625e-11
0.7807453124951431,0.,0.,1.291817239871039e-10,3.150003607640874e-11
0.781512114537098,0.,0.,1.2314138810705757e-10,3.002923967001643e-11
0.7822789165790529,0.,0.,1.172113485559032e-10,2.858528057620212e-11
