"Run","Seed","BestYukawa2Cs2Ms6MB2","BestLoss","CoarseBestY","Alpha","GammaTotal","mPi","MEta","mRho","mOmega","mPhi","GammaRho","GammaOmega","GammaPhi","mKP","mN","g","zNS","zSmBm","PhiPdeg","PhiVdeg"
31,12376,0.00007806060606060605,1.5991777293677352,0.00007878787878787879,0.007297525673410085,1.2962902049156424e-6,0.13497737931266837,0.5478635331702005,0.7750167958775417,0.7827211919931706,1.0194334310748883,0.1481886959106019,0.008407197803412298,0.0042246294889528736,0.4936977439458007,0.9382720881717975,0.7036626519926646,0.846943542960956,0.6596574897941825,41.59327964136777,3.325478435707368
32,12377,0.00007787878787878789,1.6079715418779077,0.00007727272727272729,0.007297525682850618,1.3443049794361501e-6,0.1349762429452555,0.5478603489180762,0.7754379364249291,0.7825434746136452,1.0194254220167598,0.14898929773823474,0.00867102502738951,0.0042602975533250565,0.4936517770056029,0.9382720878984038,0.7090525239637147,0.8336178614276274,0.6650150045689652,41.4077066243243,3.3433050857764255
33,12378,0.0001009090909090909,1.5050455870458013,0.0001015151515151515,0.007297525652792076,1.2500840469093083e-6,0.13497663542642982,0.5478530212678022,0.7750225489171279,0.7827023728556868,1.0194533783801343,0.14869906524983448,0.008817923562776258,0.004243190095799144,0.49367101900639343,0.9382720883960549,0.6963470947054163,0.8031479142990023,0.6570503424438532,41.9714869491503,3.2805535136675
34,12379,0.00009345454545454545,1.5199021106343658,0.00009393939393939393,0.007297525670333258,1.2443406157509173e-6,0.1349766708198839,0.5478700790767578,0.7753893815550685,0.7825696530468935,1.0194549622941942,0.14843660097359643,0.008699611405342178,0.004242525786684624,0.4936688730832424,0.9382720885934934,0.6984876648865409,0.8206667233191823,0.6488848022723184,42.15496680793995,3.300411970813716
35,12380,0.00010163636363636363,1.5045863529896257,0.0001015151515151515,0.007297525633977047,1.3335798218665429e-6,0.13497692983748183,0.5479001113043092,0.7756702828898229,0.7826323552934458,1.0194322777992222,0.14995057401384673,0.008684113968188207,0.004235227900897396,0.49365455851282,0.9382720883724442,0.6870028290973377,0.8209493710783629,0.641790257717904,41.863236107823134,3.3633218510753675
36,12381,0.00008284848484848485,1.572217939507027,0.00008333333333333333,0.007297525672660824,1.423183699213654e-6,0.1349764695429557,0.547858073892258,0.7747808080485571,0.7829070212513387,1.019459733872222,0.1481919347073093,0.00871799261585756,0.00425396541613621,0.4936704097256843,0.9382720881735226,0.7104664031014502,0.8193856388513229,0.6432393284654427,41.815235310910474,3.309649498458579
37,12382,0.00007412121212121213,1.622576864441347,0.00007424242424242424,0.007297525654050448,1.3085807006355012e-6,0.13497645472279238,0.5478602428647982,0.7751209551981185,0.7826007323456798,1.019462947119699,0.1481049150502481,0.008642973490545406,0.0042483451803943095,0.4936761138627966,0.9382720879684074,0.6999648501462774,0.8677883801804358,0.6641259419609068,41.437079698386206,3.4767252683193655
38,12383,0.00010012121212121213,1.499977032899722,0.0001,0.007297525652002617,1.3624101127458766e-6,0.1349769746065627,0.5478491337359787,0.7750082169555745,0.7827153927506305,1.0194314343696975,0.14792210281182996,0.008870752573334561,0.004265088861585692,0.4936560381348451,0.9382720883446165,0.7006124570828531,0.7993025930712072,0.6594917950727752,42.172369646804746,3.3507586686667317
39,12384,0.00008296969696969697,1.601785228621619,0.00008333333333333333,0.007297525666313129,1.386057827777421e-6,0.13497584195761764,0.547882205463558,0.7754249860636441,0.7823950733952847,1.0194606890523328,0.14923965710944484,0.008762375178248965,0.004246191082920631,0.4936730237587859,0.938272088229336,0.7052952593748314,0.8200862497777647,0.6313243391936465,41.07548776659997,3.239373163950603
40,12385,0.00008381818181818181,1.5796159812284802,0.00008333333333333333,0.007297525682759273,1.414143676791168e-6,0.13497685298451237,0.5478532921648444,0.7751183806277393,0.7827409319385374,1.0194555580572422,0.15008258143034212,0.008673361777848885,0.004251942328482096,0.49364616937463157,0.9382720877327014,0.6919489476188834,0.8538375441728062,0.6480251653345213,41.525769019239114,3.11240416632547
